<>	1	2	3	4	5	6	7	8	9	10	11	12	
E	0.18844	0.179	0.37908	0.22996	0.21616	0.17994	0.37554	0.18348	0.27688	0.1453	0.29972	0.39858	
F	0.16048	0.18276	0.3521	0.23308	0.24968	0.24772	0.41384	0.22546	0.27902	0.14874	0.29306	0.40306	
G	0.1631	0.15506	0.30458	0.21728	0.17014	0.1636	0.3559	0.2063	0.29966	0.14712	0.2941	0.42762	
H	0.18054	0.24004	0.34396	0.29912	0.1965	0.2231	0.43798	0.2805	0.31156	0.2006	0.30698	0.41502	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.28696	0.354	0.54618	0.27102	0.33698	0.32154	0.65674	0.30028	0.33224	0.25374	0.34728	0.47716	
B	0.3215	0.33596	0.44026	0.2813	0.29324	0.28684	0.55158	0.27554	0.3118	0.26002	0.33592	0.48658	
C	0.27716	0.25228	0.33012	0.25998	0.30866	0.25246	0.46486	0.26124	0.29784	0.26024	0.32422	0.4211	
D	0.28646	0.2886	0.50588	0.27272	0.30826	0.29224	0.50098	0.27196	0.30252	0.24796	0.32206	0.44978	
E	0.20122	0.20076	0.40608	0.2412	0.24476	0.2037	0.4295	0.2065	0.2979	0.14998	0.32204	0.44806	
F	0.17082	0.19822	0.37894	0.23926	0.28104	0.27566	0.47188	0.24514	0.30016	0.1532	0.3141	0.452	
G	0.17308	0.17056	0.33454	0.2344	0.18684	0.17326	0.4245	0.22202	0.32538	0.1497	0.32414	0.46614	
H	0.19478	0.28202	0.39178	0.30542	0.20964	0.23392	0.48656	0.29718	0.32976	0.207	0.33084	0.46336	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2968	0.39282	0.61758	0.30256	0.35416	0.33838	0.75902	0.31232	0.35862	0.25712	0.38148	0.52906	
B	0.33184	0.37508	0.5009	0.2904	0.31542	0.30198	0.62284	0.28552	0.3325	0.26116	0.35516	0.51936	
C	0.28138	0.25602	0.36188	0.27152	0.32778	0.25648	0.52496	0.26688	0.31794	0.26226	0.3455	0.45108	
D	0.29624	0.30326	0.5507	0.28042	0.33026	0.30256	0.57062	0.28016	0.32652	0.24972	0.33878	0.46756	
E	0.21678	0.21774	0.44444	0.24646	0.27816	0.22104	0.47668	0.23104	0.31866	0.1531	0.3416	0.48694	
F	0.18206	0.22886	0.41938	0.24624	0.31254	0.2944	0.51674	0.26392	0.32664	0.16128	0.33742	0.49416	
G	0.18766	0.18456	0.36468	0.23564	0.224	0.19412	0.47386	0.25114	0.3493	0.15616	0.3492	0.51102	
H	0.20114	0.32316	0.43226	0.31018	0.22012	0.24062	0.55184	0.31568	0.35666	0.21266	0.35018	0.50984	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.308	0.44014	0.68604	0.3194	0.37788	0.3612	0.8395	0.33	0.38858	0.2648	0.4118	0.60878	
