<>	1	2	3	4	5	6	7	8	9	10	11	12	
C	0.46934	0.4759	0.4498	0.45534	0.42998	0.4428	0.44762	0.44062	0.43878	0.45546	0.4234	0.44902	
D	0.52018	0.48198	0.48662	0.45052	0.4996	0.45192	0.5054	0.53664	0.49578	0.54834	0.50642	0.49258	
E	0.66468	0.68824	0.63154	0.63652	0.69902	0.64882	0.68402	0.64402	0.64996	0.72092	0.6481	0.66808	
F	0.61434	0.69924	0.6877	0.58138	0.65486	0.48998	0.71384	0.56958	0.61922	0.69256	0.57494	0.64242	
G	0.55234	0.59298	0.57958	0.50122	0.55656	0.52914	0.51028	0.50912	0.52662	0.53892	0.49552	0.5106	
H	0.55412	0.6341	0.65924	0.48694	0.54628	0.48422	0.52544	0.4841	0.5495	0.55582	0.50852	0.52734	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.51158	0.43846	0.44576	0.51116	0.4919	0.40208	0.51604	0.4471	0.44366	0.48354	0.42448	0.4577	
B	0.6252	0.55308	0.55126	0.639	0.57196	0.52786	0.6023	0.51424	0.55826	0.58314	0.52308	0.46822	
C	0.48254	0.42584	0.45576	0.46282	0.4421	0.42998	0.45478	0.44734	0.44704	0.467	0.43108	0.4555	
D	0.55248	0.5294	0.50096	0.46252	0.5234	0.46026	0.51774	0.5548	0.51712	0.57144	0.53454	0.51616	
E	0.71838	0.74258	0.67724	0.68234	0.75454	0.72276	0.72108	0.68904	0.6993	0.76538	0.69598	0.71378	
F	0.67136	0.767	0.74242	0.62064	0.70668	0.52754	0.75458	0.59686	0.65236	0.73254	0.61014	0.68764	
G	0.51216	0.64142	0.61662	0.5335	0.59582	0.56918	0.52686	0.53214	0.5493	0.56842	0.52166	0.53962	
H	0.59538	0.68724	0.71316	0.51968	0.56016	0.51168	0.54422	0.51236	0.56512	0.58706	0.53606	0.56232	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.5373	0.4497	0.451	0.53524	0.51158	0.42494	0.5285	0.45664	0.45006	0.49186	0.43198	0.4673	
B	0.67918	0.5881	0.5842	0.69428	0.61322	0.55884	0.63874	0.54068	0.5889	0.61662	0.548	0.48444	
C	0.5278	0.44014	0.46384	0.47182	0.44984	0.42596	0.45962	0.45148	0.45294	0.47514	0.4332	0.46136	
D	0.5883	0.50552	0.52216	0.4758	0.55206	0.47306	0.5366	0.57922	0.53378	0.59798	0.55346	0.53476	
E	0.77666	0.79792	0.72402	0.71966	0.80482	0.73632	0.7563	0.72932	0.74366	0.80238	0.7416	0.75456	
